* primer sequences are manufactured specifically for use with the Ion AmpliSeq Kits and contain proprietary modifications.
384Well_PlateID,384Well_Row,384Well_Col,Amplicon_ID,Ion_AmpliSeq_Fwd_Primer*,Ion_AmpliSeq_Rev_Primer*
Pool1_01,I,14,7173184169,.,.
Pool1_01,I,15,7173178232,.,.
Pool1_01,I,16,7173184218,.,.
Pool1_01,I,17,7173184194,.,.
Pool1_01,I,18,7173178239,.,.
Pool1_01,I,19,7173178401,.,.
Pool1_01,I,20,7173184167,.,.
Pool1_01,I,21,7173178299,.,.
Pool1_01,I,22,7173178386,.,.
Pool1_01,I,23,7173178413,.,.
Pool1_01,I,24,7173184255,.,.
Pool1_01,J,1,7173184181,.,.
Pool1_01,J,2,7173184259,.,.
Pool1_01,J,3,7173178372,.,.
Pool1_01,J,4,7173184254,.,.
Pool1_01,J,5,7173178405,.,.
Pool1_01,J,6,7173178430,.,.
Pool1_01,J,7,7173178188,.,.
Pool1_01,J,8,7170363467,.,.
Pool1_01,J,9,7173178179,.,.
Pool1_01,J,10,7173178186,.,.
Pool1_01,J,11,7173178251,.,.
Pool1_01,J,12,7173178282,.,.
Pool1_01,J,13,7173178353,.,.
Pool1_01,J,14,7173184201,.,.
Pool1_01,J,15,7173178279,.,.
Pool1_01,J,16,7171369738,.,.
Pool1_01,J,17,7173178452,.,.
Pool1_01,J,18,7173178192,.,.
Pool1_01,J,19,7173178470,.,.
Pool1_01,J,20,7173178448,.,.
Pool1_01,J,21,7173178190,.,.
Pool1_01,J,22,7173178237,.,.
Pool1_01,J,23,7173178286,.,.
Pool1_01,J,24,7170668164,.,.
Pool1_01,K,1,7173184193,.,.
Pool1_01,K,2,7173184212,.,.
Pool1_01,K,3,7173178450,.,.
Pool1_01,K,4,7170641810,.,.
Pool1_01,K,5,7173178357,.,.
Pool1_01,K,6,7173178466,.,.
Pool1_01,K,7,7173178298,.,.
Pool1_01,K,8,7170670126,.,.
Pool1_01,K,9,7173178270,.,.
Pool1_01,K,10,7173184182,.,.
Pool1_01,K,11,7173178467,.,.
Pool1_01,K,12,7173184295,.,.
Pool1_01,K,13,7173184296,.,.
Pool1_01,K,14,7173178358,.,.
Pool1_01,K,15,7173178408,.,.
Pool1_01,K,16,7172394240,.,.
Pool1_01,K,17,7156547077,.,.
Pool1_01,K,18,7173178433,.,.
Pool1_01,K,19,7173178348,.,.
Pool1_01,K,20,7173178446,.,.
Pool1_01,K,21,7173178308,.,.
Pool1_01,K,22,7173178202,.,.
Pool1_01,K,23,7173178295,.,.
Pool1_01,K,24,7173178425,.,.
Pool1_01,L,1,7173178465,.,.
Pool1_01,L,2,7173178423,.,.
Pool1_01,L,3,7173178278,.,.
Pool1_01,L,4,7173178225,.,.
Pool1_01,L,5,7173178287,.,.
Pool1_01,L,6,7173178292,.,.
Pool1_01,L,7,7170827930,.,.
Pool1_01,L,8,7171327965,.,.
Pool1_01,L,9,7170912383,.,.
Pool1_01,L,10,7173178220,.,.
Pool1_01,L,11,7173184247,.,.
Pool1_01,L,12,7171370356,.,.
Pool1_01,L,13,7169440321,.,.
Pool1_01,L,14,7173178195,.,.
Pool1_01,L,15,7173178247,.,.
Pool1_01,L,16,7173184243,.,.
Pool1_01,L,17,7173178439,.,.
Pool1_01,L,18,7173178370,.,.
Pool1_01,L,19,7173184253,.,.
Pool1_01,L,20,7173178197,.,.
Pool1_01,L,21,7173178464,.,.
Pool1_01,L,22,7173184300,.,.
Pool1_01,L,23,7173178302,.,.
Pool1_01,L,24,7173184219,.,.
Pool1_01,M,1,7173184251,.,.
Pool1_01,M,2,7173178323,.,.
Pool1_01,M,3,7173184230,.,.
Pool1_01,M,4,7173178256,.,.
Pool1_01,M,5,7170610895,.,.
Pool1_01,M,6,7173184245,.,.
Pool1_01,M,7,7173178384,.,.
Pool1_01,M,8,7173184264,.,.
